n_sp,uni_range_summary,Class,mn_tmp,lwr_tmp,upr_tmp,mn_tmax,lwr_tmax,upr_tmax,mn_tmin,lwr_tmin,upr_tmin,mn_p,lwr_p,upr_p
264,Corallus hortulana,Reptilia,26.86968054,26.49433815,27.24502293,31.58571402,31.19143034,31.97999769,22.33880342,22.01799898,22.65960785,213.6376148,187.3955794,239.8796502
265,Corallus enydris,Reptilia,27.15496231,27.00768225,27.30224236,32.00177538,31.85869127,32.1448595,22.89153077,22.75404096,23.02902058,277.2965977,249.2509913,305.3422041
266,Cordylus jonesii,Reptilia,21.91412006,21.50077141,22.3274687,32.1925071,31.75327455,32.63173966,20.03572443,19.658443,20.41300587,106.2933239,100.235354,112.3512937
269,Correlophus ciliatus,Reptilia,22.865849,22.6496317,23.0820663,29.049125,28.90301326,29.19523674,22.56,22.33431624,22.78568376,211.1525,201.4089693,220.8960307
270,Correlophus sarasinorum,Reptilia,22.17912235,21.88353258,22.47471212,29.08749941,28.79986383,29.37513499,21.69338176,21.41541273,21.9713508,255.5,246.5615388,264.4384612
271,Corucia zebrata,Reptilia,26.91410948,26.66046986,27.1677491,31.00437416,30.72412757,31.28462074,23.90436883,23.6002601,24.20847756,287.9912974,273.4076941,302.5749007
272,Corytophanes cristatus,Reptilia,26.07444122,25.63910726,26.50977518,29.77950978,29.2343431,30.32467646,20.09959798,19.55135374,20.64784221,135.471611,113.3491385,157.5940836
273,Corytophanes hernandesii,Reptilia,25.39143725,24.98710025,25.79577424,26.69295245,26.25940636,27.12649854,15.8875495,15.22102077,16.55407822,77.43031336,67.08354914,87.77707757
283,Crocodilurus amazonicus,Reptilia,27.87188769,27.6434445,28.10033089,32.04358974,31.47606035,32.61111913,23.42980769,23.29049458,23.56912081,237.5625,211.8222869,263.3027131
284,Crocodilurus lacertinus,Reptilia,27.940755,27.81509221,28.06641779,31.98645833,31.70547738,32.26743929,23.36041667,23.15872232,23.56211101,244.8125,231.1976477,258.4273523
288,Crotaphopeltis hotamboeia,Reptilia,21.55173868,20.58389422,22.51958314,29.36643494,28.60495577,30.12791411,18.93582476,18.21699555,19.65465397,98.56434546,79.64935659,117.4793343
290,Cryptoblepharus egeriae,Reptilia,24.3132503,24.04115556,24.58534504,27.35566832,27.12826647,27.58307016,21.71429455,21.5157205,21.91286861,266.077599,258.1940927,273.9611053
291,Ctenosaura bakeri,Reptilia,28.36333,28.36333,28.36333,29.5,29.5,29.5,22.58,22.58,22.58,245.4,245.4,245.4
292,Ctenosaura flavidorsalis,Reptilia,23.59497571,23.09842271,24.09152872,28.59553571,27.89826468,29.29280674,15.80580357,15.26318871,16.34841843,5.066964286,4.041409021,6.092519551
293,Ctenosaura melanosterna,Reptilia,27.171015,26.67134245,27.67068755,28.836875,28.43493003,29.23881997,20.72625,20.00800966,21.44449034,130.21875,113.9535134,146.4839866
294,Ctenosaura oaxacana,Reptilia,28.19677,27.90503592,28.48850408,32.14590783,31.76527364,32.52654203,19.7489235,19.43461212,20.06323488,2.901785717,2.179388707,3.624182727
295,Ctenosaura palearis,Reptilia,26.08668971,25.80306368,26.37031573,28.99742647,28.70052775,29.29432519,18.94724265,18.68955164,19.20493366,13.54044118,11.85776333,15.22311903
296,Ctenosaura pectinata,Reptilia,25.18031991,24.58446588,25.77617394,29.46246136,28.90802776,30.01689495,13.64949717,12.6224771,14.67651725,17.8525272,15.81906703,19.88598738
297,Ctenosaura quinquecarinata,Reptilia,27.1430206,26.49323414,27.79280707,31.35608289,30.66630454,32.04586124,18.43340566,17.47330956,19.39350176,4.157842904,2.059687608,6.255998199
298,Ctenosaura praeocularis,Reptilia,26.89834833,26.45831689,27.33837978,31.70833333,31.09623635,32.32043031,19.84166667,19.28469192,20.39864142,9.760416667,6.197141509,13.32369182
300,Ctenosaura similis,Reptilia,26.7653346,26.38868141,27.14198779,30.02943804,29.5277328,30.53114327,19.02814832,18.41100659,19.64529005,47.16522763,38.60066566,55.72978959
301,Cuora amboinensis,Reptilia,27.12256183,26.74248045,27.5026432,29.45984195,28.88297757,30.03670633,22.00457845,21.32495358,22.68420332,215.4499194,170.7074849,260.1923539
302,Cuora flavomarginata,Reptilia,22.78337784,22.19982077,23.36693491,19.58234419,18.87729829,20.28739009,14.23550203,13.43838112,15.03262293,89.74713378,76.53239641,102.9618712
304,Cuora trifasciata,Reptilia,24.69273545,24.18446056,25.20101034,22.82822455,21.64369736,24.01275173,15.40935636,14.32516029,16.49355243,40.30119091,26.44788381,54.15449801
309,Cyclanorbis senegalensis,Reptilia,28.83826154,28.51993368,29.1565894,35.48894231,34.96559294,36.01229167,19.97307692,19.55588724,20.39026661,11.91826923,2.560501294,21.27603717
310,Cyclemys dentata,Reptilia,27.12233278,26.43071035,27.8139552,30.10167132,29.06617579,31.13716684,20.40212513,19.22677704,21.57747323,99.46232526,65.34207523,133.5825753
311,Cycloderma frenatum,Reptilia,26.07464619,25.62470133,26.52459105,30.90238095,30.25410122,31.55066069,22.93065476,22.48667841,23.37463111,258.9389881,233.2809769,284.5969993
312,Cyclodomorphus gerrardii,Reptilia,19.74069226,19.26151423,20.21987029,29.04121084,28.65017247,29.43224921,19.76925764,19.305463,20.23305228,161.2813284,147.4189178,175.143739
313,Cyclura cornuta,Reptilia,26.46795398,26.00656844,26.92933952,30.25825106,29.80530859,30.71119353,19.25456354,18.7296139,19.77951318,26.8332308,22.1603423,31.50611929
314,Cyclura lewisi,Reptilia,27.84214159,27.83687089,27.84741229,28.9117425,28.89333576,28.93014924,22.50917227,22.49332768,22.52501687,43.14421023,42.01581708,44.27260337
315,Cyclura nubila,Reptilia,27.17033861,27.00384206,27.33683517,28.91759355,28.65534193,29.17984517,20.67736827,20.36326915,20.99146739,35.29020957,31.48984804,39.0905711
318,Cylindrophis ruffus,Reptilia,27.22438369,26.69403075,27.75473662,30.1653101,29.56330326,30.76731693,21.90606806,21.25179044,22.56034567,208.9679069,167.2919688,250.643845
321,Cyrtodactylus louisiadensis,Reptilia,26.17918183,25.86831782,26.49004584,31.08107521,30.84382659,31.31832384,23.45599394,23.1209513,23.79103659,267.9020803,254.2022116,281.6019489
323,Cyrtodactylus pulchellus,Reptilia,25.74202167,24.96508566,26.51895767,33.96945167,33.21856529,34.72033805,22.07985333,21.76486221,22.39484445,55.00756694,45.71388003,64.30125386
324,Cyrtopodion scabrum,Reptilia,25.59898824,24.34594059,26.85203589,21.38170709,19.6618302,23.10158398,11.35510698,9.096942974,13.61327098,22.89599906,17.43628029,28.35571784
325,Cyrtopodion scaber,Reptilia,23.12413458,22.01009642,24.23817274,17.11346009,15.75811696,18.46880323,5.865806449,4.51348376,7.218129137,38.6307163,32.55898895,44.70244365
330,Dasypeltis gansi,Reptilia,27.18302556,26.63290151,27.7331496,33.14699074,32.47601364,33.81796784,18.71435185,18.13842715,19.29027656,5.99537037,1.6289803,10.36176044
331,Dasypeltis scabra,Reptilia,21.23809351,20.26503189,22.21115513,30.48785958,29.69479741,31.28092175,18.51510747,17.80770715,19.22250779,75.64782973,59.42029281,91.87536666
